seed,convergence_epoch,final_accuracy
0,208,0.9872495446265938
1,100,0.9872495446265938
2,749,0.9872495446265938
3,171,0.9872495446265938
4,472,0.9890710382513661
5,814,0.9890710382513661
6,765,0.9890710382513661
7,823,0.9890710382513661
8,793,0.9872495446265938
9,627,0.9872495446265938
10,909,0.9908925318761385
11,137,0.9890710382513661
12,472,0.9872495446265938
13,394,0.9890710382513661
14,90,0.9872495446265938
15,664,0.9890710382513661
16,947,0.9890710382513661
17,778,0.9908925318761385
18,288,0.9872495446265938
19,795,0.9908925318761385
