seed,pair,convergence_epoch,early_pattern,late_pattern
0,mu1-mu2,208,none,none
0,mu2-mu3,208,inconclusive,none
0,mu3-mu4,208,none,none
0,mu4-mu5,208,none,inconclusive
0,mu5-mu6,208,none,none
0,mu6-mu7,208,inconclusive,none
0,mu7-mu8,208,none,none
1,mu1-mu2,100,none,none
1,mu2-mu3,100,none,none
1,mu3-mu4,100,none,none
1,mu4-mu5,100,none,inconclusive
1,mu5-mu6,100,none,none
1,mu6-mu7,100,inconclusive,none
1,mu7-mu8,100,none,none
2,mu1-mu2,749,none,none
2,mu2-mu3,749,none,none
2,mu3-mu4,749,none,none
2,mu4-mu5,749,none,inconclusive
2,mu5-mu6,749,repulsion,none
2,mu6-mu7,749,none,none
2,mu7-mu8,749,none,none
3,mu1-mu2,171,none,none
3,mu2-mu3,171,none,none
3,mu3-mu4,171,none,none
3,mu4-mu5,171,none,inconclusive
3,mu5-mu6,171,inconclusive,none
3,mu6-mu7,171,none,inconclusive
3,mu7-mu8,171,none,none
4,mu1-mu2,472,none,none
4,mu2-mu3,472,none,none
4,mu3-mu4,472,none,none
4,mu4-mu5,472,none,none
4,mu5-mu6,472,none,none
4,mu6-mu7,472,none,none
4,mu7-mu8,472,none,none
5,mu1-mu2,814,none,none
5,mu2-mu3,814,partial,none
5,mu3-mu4,814,inconclusive,inconclusive
5,mu4-mu5,814,none,none
5,mu5-mu6,814,none,inconclusive
5,mu6-mu7,814,none,inconclusive
5,mu7-mu8,814,none,none
6,mu1-mu2,765,none,none
6,mu2-mu3,765,none,none
6,mu3-mu4,765,repulsion,inconclusive
6,mu4-mu5,765,none,none
6,mu5-mu6,765,none,none
6,mu6-mu7,765,none,none
6,mu7-mu8,765,inconclusive,inconclusive
7,mu1-mu2,823,none,none
7,mu2-mu3,823,partial,none
7,mu3-mu4,823,none,none
7,mu4-mu5,823,inconclusive,none
7,mu5-mu6,823,none,none
7,mu6-mu7,823,none,none
7,mu7-mu8,823,none,none
8,mu1-mu2,793,none,none
8,mu2-mu3,793,repulsion,none
8,mu3-mu4,793,none,inconclusive
8,mu4-mu5,793,none,none
8,mu5-mu6,793,none,none
8,mu6-mu7,793,inconclusive,none
8,mu7-mu8,793,none,none
9,mu1-mu2,627,none,none
9,mu2-mu3,627,none,none
9,mu3-mu4,627,none,none
9,mu4-mu5,627,none,inconclusive
9,mu5-mu6,627,inconclusive,none
9,mu6-mu7,627,none,none
9,mu7-mu8,627,none,inconclusive
10,mu1-mu2,909,none,none
10,mu2-mu3,909,none,none
10,mu3-mu4,909,none,none
10,mu4-mu5,909,partial,none
10,mu5-mu6,909,none,none
10,mu6-mu7,909,none,inconclusive
10,mu7-mu8,909,none,none
11,mu1-mu2,137,none,none
11,mu2-mu3,137,none,none
11,mu3-mu4,137,inconclusive,inconclusive
11,mu4-mu5,137,repulsion,none
11,mu5-mu6,137,partial,inconclusive
11,mu6-mu7,137,inconclusive,none
11,mu7-mu8,137,none,none
12,mu1-mu2,472,none,none
12,mu2-mu3,472,none,inconclusive
12,mu3-mu4,472,inconclusive,none
12,mu4-mu5,472,none,none
12,mu5-mu6,472,repulsion,none
12,mu6-mu7,472,none,inconclusive
12,mu7-mu8,472,none,none
13,mu1-mu2,394,none,none
13,mu2-mu3,394,none,none
13,mu3-mu4,394,none,none
13,mu4-mu5,394,none,inconclusive
13,mu5-mu6,394,none,none
13,mu6-mu7,394,none,none
13,mu7-mu8,394,none,none
14,mu1-mu2,90,none,none
14,mu2-mu3,90,inconclusive,none
14,mu3-mu4,90,none,none
14,mu4-mu5,90,inconclusive,none
14,mu5-mu6,90,none,none
14,mu6-mu7,90,none,none
14,mu7-mu8,90,inconclusive,none
15,mu1-mu2,664,none,none
15,mu2-mu3,664,none,none
15,mu3-mu4,664,partial,inconclusive
15,mu4-mu5,664,inconclusive,none
15,mu5-mu6,664,none,none
15,mu6-mu7,664,inconclusive,none
15,mu7-mu8,664,none,none
16,mu1-mu2,947,partial,none
16,mu2-mu3,947,inconclusive,inconclusive
16,mu3-mu4,947,none,inconclusive
16,mu4-mu5,947,none,none
16,mu5-mu6,947,none,none
16,mu6-mu7,947,none,none
16,mu7-mu8,947,inconclusive,none
17,mu1-mu2,778,none,none
17,mu2-mu3,778,none,none
17,mu3-mu4,778,none,none
17,mu4-mu5,778,none,none
17,mu5-mu6,778,none,inconclusive
17,mu6-mu7,778,inconclusive,none
17,mu7-mu8,778,none,none
18,mu1-mu2,288,none,none
18,mu2-mu3,288,none,inconclusive
18,mu3-mu4,288,none,none
18,mu4-mu5,288,none,none
18,mu5-mu6,288,none,inconclusive
18,mu6-mu7,288,inconclusive,none
18,mu7-mu8,288,inconclusive,none
19,mu1-mu2,795,none,none
19,mu2-mu3,795,none,none
19,mu3-mu4,795,none,inconclusive
19,mu4-mu5,795,none,inconclusive
19,mu5-mu6,795,none,none
19,mu6-mu7,795,none,none
19,mu7-mu8,795,none,none
