seed,pair,pattern,final_train_acc
0,mu1-mu2,no clear repulsion,0.9872495446265938
0,mu2-mu3,no clear repulsion,0.9872495446265938
0,mu3-mu4,no clear repulsion,0.9872495446265938
0,mu4-mu5,inconclusive (still narrowing at epoch_max),0.9872495446265938
0,mu5-mu6,no clear repulsion,0.9872495446265938
0,mu6-mu7,no clear repulsion,0.9872495446265938
0,mu7-mu8,no clear repulsion,0.9872495446265938
1,mu1-mu2,no clear repulsion,0.9872495446265938
1,mu2-mu3,no clear repulsion,0.9872495446265938
1,mu3-mu4,partial repulsion (one side reopens),0.9872495446265938
1,mu4-mu5,inconclusive (still narrowing at epoch_max),0.9872495446265938
1,mu5-mu6,no clear repulsion,0.9872495446265938
1,mu6-mu7,no clear repulsion,0.9872495446265938
1,mu7-mu8,partial repulsion (one side reopens),0.9872495446265938
2,mu1-mu2,no clear repulsion,0.9872495446265938
2,mu2-mu3,partial repulsion (one side reopens),0.9872495446265938
2,mu3-mu4,no clear repulsion,0.9872495446265938
2,mu4-mu5,inconclusive (still narrowing at epoch_max),0.9872495446265938
2,mu5-mu6,repulsion (both sides reopen),0.9872495446265938
2,mu6-mu7,no clear repulsion,0.9872495446265938
2,mu7-mu8,no clear repulsion,0.9872495446265938
3,mu1-mu2,no clear repulsion,0.9872495446265938
3,mu2-mu3,repulsion (both sides reopen),0.9872495446265938
3,mu3-mu4,no clear repulsion,0.9872495446265938
3,mu4-mu5,no clear repulsion,0.9872495446265938
3,mu5-mu6,no clear repulsion,0.9872495446265938
3,mu6-mu7,no clear repulsion,0.9872495446265938
3,mu7-mu8,repulsion (both sides reopen),0.9872495446265938
4,mu1-mu2,no clear repulsion,0.9890710382513661
4,mu2-mu3,no clear repulsion,0.9890710382513661
4,mu3-mu4,no clear repulsion,0.9890710382513661
4,mu4-mu5,no clear repulsion,0.9890710382513661
4,mu5-mu6,partial repulsion (one side reopens),0.9890710382513661
4,mu6-mu7,no clear repulsion,0.9890710382513661
4,mu7-mu8,no clear repulsion,0.9890710382513661
5,mu1-mu2,no clear repulsion,0.9890710382513661
5,mu2-mu3,partial repulsion (one side reopens),0.9890710382513661
5,mu3-mu4,inconclusive (still narrowing at epoch_max),0.9890710382513661
5,mu4-mu5,no clear repulsion,0.9890710382513661
5,mu5-mu6,no clear repulsion,0.9890710382513661
5,mu6-mu7,no clear repulsion,0.9890710382513661
5,mu7-mu8,repulsion (both sides reopen),0.9890710382513661
6,mu1-mu2,no clear repulsion,0.9890710382513661
6,mu2-mu3,no clear repulsion,0.9890710382513661
6,mu3-mu4,repulsion (both sides reopen),0.9890710382513661
6,mu4-mu5,no clear repulsion,0.9890710382513661
6,mu5-mu6,no clear repulsion,0.9890710382513661
6,mu6-mu7,no clear repulsion,0.9890710382513661
6,mu7-mu8,inconclusive (still narrowing at epoch_max),0.9890710382513661
7,mu1-mu2,no clear repulsion,0.9890710382513661
7,mu2-mu3,no clear repulsion,0.9890710382513661
7,mu3-mu4,no clear repulsion,0.9890710382513661
7,mu4-mu5,no clear repulsion,0.9890710382513661
7,mu5-mu6,no clear repulsion,0.9890710382513661
7,mu6-mu7,repulsion (both sides reopen),0.9890710382513661
7,mu7-mu8,no clear repulsion,0.9890710382513661
8,mu1-mu2,no clear repulsion,0.9872495446265938
8,mu2-mu3,repulsion (both sides reopen),0.9872495446265938
8,mu3-mu4,partial repulsion (one side reopens),0.9872495446265938
8,mu4-mu5,no clear repulsion,0.9872495446265938
8,mu5-mu6,partial repulsion (one side reopens),0.9872495446265938
8,mu6-mu7,no clear repulsion,0.9872495446265938
8,mu7-mu8,partial repulsion (one side reopens),0.9872495446265938
9,mu1-mu2,no clear repulsion,0.9872495446265938
9,mu2-mu3,no clear repulsion,0.9872495446265938
9,mu3-mu4,repulsion (both sides reopen),0.9872495446265938
9,mu4-mu5,inconclusive (still narrowing at epoch_max),0.9872495446265938
9,mu5-mu6,no clear repulsion,0.9872495446265938
9,mu6-mu7,no clear repulsion,0.9872495446265938
9,mu7-mu8,inconclusive (still narrowing at epoch_max),0.9872495446265938
10,mu1-mu2,repulsion (both sides reopen),0.9908925318761385
10,mu2-mu3,partial repulsion (one side reopens),0.9908925318761385
