eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
3.254705243938516013e+00,2.421212511976807313e+00,1.886122192658129970e+00,1.493020497433151350e+00,6.594736633651278046e-01,5.291211528456279956e-01,3.448228660188165651e-01,2.563016192067040788e-01
3.240159202992781040e+00,2.417771134904994845e+00,1.905423020236352682e+00,1.498116762673153080e+00,6.557071928898055013e-01,5.223355563316944838e-01,3.441888665822179783e-01,2.564118671425981155e-01
3.246683605742574752e+00,2.414257086333000402e+00,1.915276881915693785e+00,1.500899846007377025e+00,6.528472885801476222e-01,5.169540129147162100e-01,3.426925809786326438e-01,2.560100579832944034e-01
3.263664077585542334e+00,2.410379787088148262e+00,1.921687448724412439e+00,1.503248064559754349e+00,6.504279796724435903e-01,5.122203629025093852e-01,3.410190864787908671e-01,2.555613362658054055e-01
3.286692929410116371e+00,2.406171354570828758e+00,1.926713391304654577e+00,1.505278214878701171e+00,6.482649457890169442e-01,5.078343395201934118e-01,3.393957675278639341e-01,2.551811338113224026e-01
3.313346942245094517e+00,2.401734323567453089e+00,1.931080463827933746e+00,1.506895012005248669e+00,6.462746542867715549e-01,5.036655237459090051e-01,3.379022610039604801e-01,2.548933604458957780e-01
3.342138795513710736e+00,2.397170565263586628e+00,1.935048248308238739e+00,1.508049915593033585e+00,6.444166618289706161e-01,4.996656912099849412e-01,3.365589669772255932e-01,2.546927189789123802e-01
3.372112061782781112e+00,2.392565336281195165e+00,1.938715536491911307e+00,1.508749656892436786e+00,6.426699123130793501e-01,4.958278902926775977e-01,3.353606559183260338e-01,2.545637102954375619e-01
3.402643359118423749e+00,2.387984974877201960e+00,1.942126324091937306e+00,1.509030312994042333e+00,6.410212527459291376e-01,4.921603572146751038e-01,3.342918000555827329e-01,2.544886918227334816e-01
3.433327746178570283e+00,2.383478589206731613e+00,1.945305480286234623e+00,1.508937993700528502e+00,6.394602704630267809e-01,4.886725802298950150e-01,3.333343058446904816e-01,2.544518821858555158e-01
3.463904629112497968e+00,2.379081211250351657e+00,1.948270691948455813e+00,1.508519069791816047e+00,6.379774794480724820e-01,4.853698235034349939e-01,3.324712492976074074e-01,2.544409335048801735e-01
3.494208154378521503e+00,2.374817072612056545e+00,1.951036704575529912e+00,1.507816327572111703e+00,6.365639670619739343e-01,4.822520994701265384e-01,3.316883223663525393e-01,2.544470233023550798e-01
3.524134220169433895e+00,2.370702371667680719e+00,1.953616993145442571e+00,1.506867931837113872e+00,6.352114966466568813e-01,4.793149563503174559e-01,3.309740654999206444e-01,2.544642601919166469e-01
3.553618889352471832e+00,2.366747403479370071e+00,1.956024446095904201e+00,1.505707483887473774e+00,6.339126517860481647e-01,4.765507424132960912e-01,3.303195597740081757e-01,2.544889212886835006e-01
3.582624418846582781e+00,2.362958139389526036e+00,1.958271596959125338e+00,1.504364421124318563e+00,6.326609052985768811e-01,4.739497895554580786e-01,3.297179503712614479e-01,2.545187708421873807e-01
