order_seed,pair,pattern
0,lambda1-lambda2,no clear repulsion
0,lambda2-lambda3,partial repulsion (one side reopens)
0,lambda3-lambda4,partial repulsion (one side reopens)
0,lambda4-lambda5,repulsion (both sides reopen)
0,lambda5-lambda6,repulsion (both sides reopen)
0,lambda6-lambda7,repulsion (both sides reopen)
0,lambda7-lambda8,repulsion (both sides reopen)
1,lambda1-lambda2,repulsion (both sides reopen)
1,lambda2-lambda3,inconclusive (still narrowing at n_max)
1,lambda3-lambda4,partial repulsion (one side reopens)
1,lambda4-lambda5,repulsion (both sides reopen)
1,lambda5-lambda6,repulsion (both sides reopen)
1,lambda6-lambda7,repulsion (both sides reopen)
1,lambda7-lambda8,repulsion (both sides reopen)
2,lambda1-lambda2,partial repulsion (one side reopens)
2,lambda2-lambda3,repulsion (both sides reopen)
2,lambda3-lambda4,repulsion (both sides reopen)
2,lambda4-lambda5,repulsion (both sides reopen)
2,lambda5-lambda6,repulsion (both sides reopen)
2,lambda6-lambda7,repulsion (both sides reopen)
2,lambda7-lambda8,repulsion (both sides reopen)
3,lambda1-lambda2,repulsion (both sides reopen)
3,lambda2-lambda3,repulsion (both sides reopen)
3,lambda3-lambda4,repulsion (both sides reopen)
3,lambda4-lambda5,partial repulsion (one side reopens)
3,lambda5-lambda6,repulsion (both sides reopen)
3,lambda6-lambda7,partial repulsion (one side reopens)
3,lambda7-lambda8,repulsion (both sides reopen)
4,lambda1-lambda2,partial repulsion (one side reopens)
4,lambda2-lambda3,repulsion (both sides reopen)
4,lambda3-lambda4,repulsion (both sides reopen)
4,lambda4-lambda5,repulsion (both sides reopen)
4,lambda5-lambda6,partial repulsion (one side reopens)
4,lambda6-lambda7,repulsion (both sides reopen)
4,lambda7-lambda8,repulsion (both sides reopen)
5,lambda1-lambda2,partial repulsion (one side reopens)
5,lambda2-lambda3,repulsion (both sides reopen)
5,lambda3-lambda4,repulsion (both sides reopen)
5,lambda4-lambda5,repulsion (both sides reopen)
5,lambda5-lambda6,repulsion (both sides reopen)
5,lambda6-lambda7,repulsion (both sides reopen)
5,lambda7-lambda8,partial repulsion (one side reopens)
6,lambda1-lambda2,partial repulsion (one side reopens)
6,lambda2-lambda3,repulsion (both sides reopen)
6,lambda3-lambda4,repulsion (both sides reopen)
6,lambda4-lambda5,no clear repulsion
6,lambda5-lambda6,repulsion (both sides reopen)
6,lambda6-lambda7,repulsion (both sides reopen)
6,lambda7-lambda8,repulsion (both sides reopen)
7,lambda1-lambda2,repulsion (both sides reopen)
7,lambda2-lambda3,inconclusive (still narrowing at n_max)
7,lambda3-lambda4,partial repulsion (one side reopens)
7,lambda4-lambda5,repulsion (both sides reopen)
7,lambda5-lambda6,repulsion (both sides reopen)
7,lambda6-lambda7,repulsion (both sides reopen)
7,lambda7-lambda8,repulsion (both sides reopen)
8,lambda1-lambda2,repulsion (both sides reopen)
8,lambda2-lambda3,repulsion (both sides reopen)
8,lambda3-lambda4,partial repulsion (one side reopens)
8,lambda4-lambda5,repulsion (both sides reopen)
