eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
1.258170255760442302e+01,8.122816958034658086e+00,6.609799474991803869e+00,6.346748862610215092e+00,5.546743327659307887e+00,3.711512303785962530e+00,3.352156525991004887e+00,3.131049770413107058e+00
1.226115076769386647e+01,7.894914948685846312e+00,6.443232128834211814e+00,5.703855325116872876e+00,5.290151550506528189e+00,4.502083591853731193e+00,3.293217994011213623e+00,2.930335198883621928e+00
1.217324719704385672e+01,7.644278884307428079e+00,6.111582256335514884e+00,5.281559300277231195e+00,5.172453992122400201e+00,4.896018885142021659e+00,3.295443708663283733e+00,2.707237254789340408e+00
1.168411305182880255e+01,7.405826567983076814e+00,5.876075994823914073e+00,5.404762201636241770e+00,5.037934920095955782e+00,4.946180070227311099e+00,3.164115821590637090e+00,2.603926645605235901e+00
1.130140278194386561e+01,7.366333847556826520e+00,5.770351712431365243e+00,5.511256383032273831e+00,4.852439372467297396e+00,4.775230414318335725e+00,3.102465244208937545e+00,2.837100768195218503e+00
1.062823652007747377e+01,8.414117128644695853e+00,6.653499196999184129e+00,4.757147904637383462e+00,4.518115184782536708e+00,4.281324271908230727e+00,3.699348915247154146e+00,2.705252233965915298e+00
1.044376745206532320e+01,7.970754207394618263e+00,6.688224006229354757e+00,4.786701606710654922e+00,4.450667293454742435e+00,4.183646720177415013e+00,3.518530428686881262e+00,2.865719548623912427e+00
1.023202577729931129e+01,8.149121065747646497e+00,6.976407496670985253e+00,4.625490707610858898e+00,4.301281616828389609e+00,3.670722482027152900e+00,3.401870834843601976e+00,2.951017529241559689e+00
1.053670121232780232e+01,7.941916199268069576e+00,6.764666141119678677e+00,4.644849227647545931e+00,4.369009233910570167e+00,3.557900748959553106e+00,3.207277103779772265e+00,2.784671996951385786e+00
1.017883517795823600e+01,8.320459060239224769e+00,6.581727948010314577e+00,4.811996263651249883e+00,4.084610286143990798e+00,3.668146931483060591e+00,3.221178387878816718e+00,2.916373027060717327e+00
9.908439663679386555e+00,8.075526938823079703e+00,6.656438243518870479e+00,4.711832901494556580e+00,4.049994509900171735e+00,3.675305746754655267e+00,3.257351566407956867e+00,2.822083169121772706e+00
9.607173574358620627e+00,9.158869177164694619e+00,5.982602185385967886e+00,5.204376792850600175e+00,4.363438403967043300e+00,3.349710757294949826e+00,3.079238377491061662e+00,2.707107673306422768e+00
1.192605474235718788e+01,8.343395151145925226e+00,5.877449182024473195e+00,4.764643899937150984e+00,3.911844847724297303e+00,3.217924128190340571e+00,2.777928161053627942e+00,2.494342744369565601e+00
1.230189735323058642e+01,7.767383456982480894e+00,5.975224280345356576e+00,4.560297967815387210e+00,3.966125751124376819e+00,3.175160661521250649e+00,2.974889683065378154e+00,2.356963442333966263e+00
1.203539974819419811e+01,7.638514608381133719e+00,5.912827420011419477e+00,4.479624601251503080e+00,3.902807002946774961e+00,3.176899499560390527e+00,2.833577861288371746e+00,2.306575080725695948e+00
1.208183168724810486e+01,7.614478549459964718e+00,5.953476561310994342e+00,4.386459163032641939e+00,3.809263990530418198e+00,3.173363464817353208e+00,2.769761704035931693e+00,2.356483326892859331e+00
1.156123740611439032e+01,7.862246278079233264e+00,5.753017784412354452e+00,4.378352724830186560e+00,3.718339225249889246e+00,3.139490104720334074e+00,2.696962169142034682e+00,2.317190369186499677e+00
1.254697728102249243e+01,7.475423721327435267e+00,5.718975309059756817e+00,4.199751587102012351e+00,3.556066946506023285e+00,3.081888525125510370e+00,2.754067989501657987e+00,2.278326225400959082e+00
1.238127156551879438e+01,7.397850663978202235e+00,5.636747588894447603e+00,4.130673856547069533e+00,3.552159121969590938e+00,3.050397741256839712e+00,2.681984163727765935e+00,2.250322987103940520e+00
1.208100779556547977e+01,7.562969887218105036e+00,5.533112638885408607e+00,4.047613820324865941e+00,3.880736880449534354e+00,2.996065144457586094e+00,2.722303923971649553e+00,2.209412999051754145e+00
1.188802028609783079e+01,7.460853330596405542e+00,5.440347578716181687e+00,3.993468070511119183e+00,3.922763679818331628e+00,2.936422958486176071e+00,2.665040253769218825e+00,2.277145978699175899e+00
1.142893269671288081e+01,7.405049896253264485e+00,5.645830010184934800e+00,4.087669820390326336e+00,3.776026693499668685e+00,2.905145515838933878e+00,2.801432983621243711e+00,2.394918744340940098e+00
1.125426660431255144e+01,7.277053810597090333e+00,5.562071759413801608e+00,4.017292268478458439e+00,3.929283290021984509e+00,2.847388866636642479e+00,2.750698359844042873e+00,2.377528014193236672e+00
1.092119709659672822e+01,7.012206608773110972e+00,5.608513047684429154e+00,4.382849735390095702e+00,3.816978451861559485e+00,2.996009217666945723e+00,2.721259000071670986e+00,2.297435355533129275e+00
1.070707795008580376e+01,7.166227726163957534e+00,5.612068247809030019e+00,4.300049395745606517e+00,3.768531319715818562e+00,2.972630993285948264e+00,2.891222818776099324e+00,2.234766121951266893e+00
1.067630184741274491e+01,7.140145341021346681e+00,5.452626969698677328e+00,4.233382460202489206e+00,3.683737086311627884e+00,3.052424988345045165e+00,2.862881325805069377e+00,2.259461916951824190e+00
