tau,regime,ks_poisson,ks_goe
0.05,GOE,0.20680116839207652,0.040011892776465885
0.1,GOE,0.18217803325304216,0.06002491851058839
0.15,GOE,0.13715906506877784,0.09578457389750317
0.2,Poisson,0.3306309224864177,0.3650868526340686
0.25,Poisson,0.45323280879412414,0.5452580616176939
0.3,Poisson,0.5039061132231717,0.5894798968067834
0.35,Poisson,0.6632767203095087,0.6666666666573648
0.4,degenerate,,
0.45,degenerate,,
0.5,degenerate,,
0.55,degenerate,,
0.6,degenerate,,
0.65,degenerate,,
0.7,degenerate,,
0.75,degenerate,,
0.8,degenerate,,
