tau,n_edges,density,ks_poisson,ks_goe,regime
0.15,347733,0.3093022014676451,0.2007918735759314,0.1105803507310551,GOE
0.2,223750,0.19902156993551257,0.1967526435804542,0.12220956357755441,GOE
0.25,146100,0.12995330220146764,0.18988663171598533,0.13207231440125122,GOE
0.3,98072,0.08723326662219258,0.16493589078647877,0.1653430488456964,Poisson
0.35,68007,0.06049099399599733,0.17625264001446392,0.18453120548338486,Poisson
0.4,47940,0.042641761174116076,0.1987969892068194,0.23046780555808144,Poisson
0.45,34153,0.030378474538581276,0.25874329311861316,0.2875028771632754,Poisson
0.5,24361,0.02166866800088948,0.3129082670504378,0.3706088797055861,Poisson
0.55,17034,0.015151434289526351,0.39024821291644424,0.470802372372309,Poisson
0.6,11560,0.010282410495886147,0.44903307997713443,0.5312764106930598,Poisson
0.65,7427,0.006606181899043807,0.5181924523259309,0.6094349114908784,Poisson
0.7,4493,0.003996442072492773,0.5495043477333896,0.6333083308932574,Poisson
0.75,2553,0.0022708472314876584,0.5911149345394933,0.680387620603332,Poisson
0.8,1389,0.0012354903268845898,0.4985396328969767,0.5881471474448099,Poisson
