cohort,rep,tau_star,any_goe
TNBC,0,0.25,True
TNBC,1,0.25,True
TNBC,2,0.25,True
TNBC,3,0.25,True
TNBC,4,0.25,True
TNBC,5,0.25,True
TNBC,6,0.25,True
TNBC,7,0.25,True
TNBC,8,0.25,True
TNBC,9,0.25,True
TNBC,10,0.25,True
TNBC,11,0.25,True
TNBC,12,0.25,True
TNBC,13,0.25,True
TNBC,14,0.25,True
TNBC,15,0.25,True
TNBC,16,0.25,True
TNBC,17,0.25,True
TNBC,18,0.25,True
TNBC,19,0.25,True
LumA,0,0.15,True
LumA,1,0.15,True
LumA,2,0.15,True
LumA,3,0.15,True
LumA,4,0.15,True
LumA,5,0.15,True
LumA,6,0.15,True
LumA,7,0.15,True
LumA,8,0.15,True
LumA,9,0.15,True
LumA,10,0.15,True
LumA,11,0.15,True
LumA,12,0.15,True
LumA,13,0.15,True
LumA,14,0.15,True
LumA,15,0.15,True
LumA,16,0.15,True
LumA,17,0.15,True
LumA,18,0.15,True
LumA,19,,True
