seed,random_overlap,real_overlap,dpt_pc1_spearman
0,0,0,-0.48085808396561086
1,1,0,-0.48085808396561086
2,2,0,-0.48085808396561086
3,1,0,-0.48085808396561086
4,0,0,-0.48085808396561086
5,3,0,-0.48085808396561086
6,0,0,-0.48085808396561086
7,1,0,-0.48085808396561086
8,1,0,-0.48085808396561086
9,0,0,-0.48085808396561086
10,2,0,-0.48085808396561086
11,0,0,-0.48085808396561086
12,1,0,-0.48085808396561086
13,0,0,-0.48085808396561086
14,0,0,-0.48085808396561086
15,0,0,-0.48085808396561086
16,0,0,-0.48085808396561086
17,2,0,-0.48085808396561086
18,0,0,-0.48085808396561086
19,1,0,-0.48085808396561086
