seed,pair,pattern
0,lambda1-lambda2,none
0,lambda2-lambda3,repulsion
0,lambda3-lambda4,repulsion
0,lambda4-lambda5,repulsion
0,lambda5-lambda6,repulsion
0,lambda6-lambda7,repulsion
0,lambda7-lambda8,partial
1,lambda1-lambda2,none
1,lambda2-lambda3,none
1,lambda3-lambda4,repulsion
1,lambda4-lambda5,repulsion
1,lambda5-lambda6,repulsion
1,lambda6-lambda7,partial
1,lambda7-lambda8,repulsion
2,lambda1-lambda2,none
2,lambda2-lambda3,repulsion
2,lambda3-lambda4,none
2,lambda4-lambda5,none
2,lambda5-lambda6,repulsion
2,lambda6-lambda7,repulsion
2,lambda7-lambda8,repulsion
3,lambda1-lambda2,none
3,lambda2-lambda3,repulsion
3,lambda3-lambda4,repulsion
3,lambda4-lambda5,partial
3,lambda5-lambda6,partial
3,lambda6-lambda7,repulsion
3,lambda7-lambda8,partial
4,lambda1-lambda2,none
4,lambda2-lambda3,repulsion
4,lambda3-lambda4,repulsion
4,lambda4-lambda5,repulsion
4,lambda5-lambda6,repulsion
4,lambda6-lambda7,repulsion
4,lambda7-lambda8,repulsion
5,lambda1-lambda2,none
5,lambda2-lambda3,none
5,lambda3-lambda4,repulsion
5,lambda4-lambda5,repulsion
5,lambda5-lambda6,repulsion
5,lambda6-lambda7,repulsion
5,lambda7-lambda8,repulsion
6,lambda1-lambda2,none
6,lambda2-lambda3,repulsion
6,lambda3-lambda4,repulsion
6,lambda4-lambda5,repulsion
6,lambda5-lambda6,repulsion
6,lambda6-lambda7,repulsion
6,lambda7-lambda8,repulsion
7,lambda1-lambda2,none
7,lambda2-lambda3,repulsion
7,lambda3-lambda4,none
7,lambda4-lambda5,repulsion
7,lambda5-lambda6,partial
7,lambda6-lambda7,repulsion
7,lambda7-lambda8,partial
8,lambda1-lambda2,none
8,lambda2-lambda3,none
8,lambda3-lambda4,repulsion
8,lambda4-lambda5,repulsion
8,lambda5-lambda6,repulsion
8,lambda6-lambda7,repulsion
8,lambda7-lambda8,repulsion
9,lambda1-lambda2,none
9,lambda2-lambda3,none
9,lambda3-lambda4,repulsion
9,lambda4-lambda5,repulsion
9,lambda5-lambda6,none
9,lambda6-lambda7,repulsion
9,lambda7-lambda8,repulsion
10,lambda1-lambda2,none
10,lambda2-lambda3,partial
10,lambda3-lambda4,repulsion
10,lambda4-lambda5,repulsion
10,lambda5-lambda6,repulsion
10,lambda6-lambda7,repulsion
10,lambda7-lambda8,repulsion
11,lambda1-lambda2,none
11,lambda2-lambda3,repulsion
11,lambda3-lambda4,repulsion
11,lambda4-lambda5,repulsion
11,lambda5-lambda6,partial
11,lambda6-lambda7,repulsion
11,lambda7-lambda8,repulsion
12,lambda1-lambda2,none
12,lambda2-lambda3,none
12,lambda3-lambda4,partial
12,lambda4-lambda5,repulsion
12,lambda5-lambda6,repulsion
12,lambda6-lambda7,none
12,lambda7-lambda8,none
13,lambda1-lambda2,none
13,lambda2-lambda3,none
13,lambda3-lambda4,repulsion
13,lambda4-lambda5,none
13,lambda5-lambda6,repulsion
13,lambda6-lambda7,repulsion
13,lambda7-lambda8,repulsion
14,lambda1-lambda2,none
14,lambda2-lambda3,none
14,lambda3-lambda4,partial
14,lambda4-lambda5,partial
14,lambda5-lambda6,repulsion
14,lambda6-lambda7,repulsion
14,lambda7-lambda8,repulsion
15,lambda1-lambda2,none
15,lambda2-lambda3,repulsion
15,lambda3-lambda4,partial
15,lambda4-lambda5,repulsion
15,lambda5-lambda6,repulsion
15,lambda6-lambda7,repulsion
15,lambda7-lambda8,repulsion
16,lambda1-lambda2,none
16,lambda2-lambda3,none
16,lambda3-lambda4,repulsion
16,lambda4-lambda5,repulsion
16,lambda5-lambda6,repulsion
16,lambda6-lambda7,repulsion
16,lambda7-lambda8,repulsion
17,lambda1-lambda2,none
17,lambda2-lambda3,repulsion
17,lambda3-lambda4,repulsion
17,lambda4-lambda5,repulsion
17,lambda5-lambda6,repulsion
17,lambda6-lambda7,repulsion
17,lambda7-lambda8,repulsion
18,lambda1-lambda2,none
18,lambda2-lambda3,repulsion
18,lambda3-lambda4,partial
18,lambda4-lambda5,none
18,lambda5-lambda6,repulsion
18,lambda6-lambda7,repulsion
18,lambda7-lambda8,repulsion
19,lambda1-lambda2,none
19,lambda2-lambda3,repulsion
19,lambda3-lambda4,repulsion
19,lambda4-lambda5,repulsion
19,lambda5-lambda6,repulsion
19,lambda6-lambda7,repulsion
19,lambda7-lambda8,repulsion
