seed,random_overlap,real_overlap,pc1_var_frac
0,2,0,8.552901261585381
1,0,0,8.552901261585381
2,2,0,8.552901261585381
3,1,0,8.552901261585381
4,2,0,8.552901261585381
5,2,0,8.552901261585381
6,1,0,8.552901261585381
7,0,0,8.552901261585381
8,0,0,8.552901261585381
9,1,0,8.552901261585381
10,2,0,8.552901261585381
11,2,0,8.552901261585381
12,1,0,8.552901261585381
13,3,0,8.552901261585381
14,3,0,8.552901261585381
15,4,0,8.552901261585381
16,1,0,8.552901261585381
17,1,0,8.552901261585381
18,5,0,8.552901261585381
19,1,0,8.552901261585381
