tau,edges,density,ks_poisson,ks_goe,regime
0.05,539429,0.47981231932399376,0.18843456860031096,0.08582335446058464,GOE
0.075,351106,0.3123024238381143,0.17486023947195456,0.104476707137099,GOE
0.1,229174,0.20384611963531243,0.1393586891227171,0.13301549694060233,GOE
0.125,151987,0.13518968201022905,0.09383469137091771,0.15181820471133367,Poisson
0.15,102953,0.09157482766288637,0.13679603053296785,0.18877235751845722,Poisson
0.175,70979,0.06313453413386702,0.1933599762241422,0.24804955172301557,Poisson
0.2,49728,0.044232154769846564,0.24921459006625352,0.31286222689887155,Poisson
0.225,35329,0.03142450522570603,0.34631059613537746,0.4102571149981029,Poisson
0.25,25486,0.022669335112297087,0.40534809108836123,0.47181452640264687,Poisson
0.275,18594,0.016539026017344898,0.47348217116202007,0.554702199915752,Poisson
0.3,13873,0.012339782076940182,0.5186970303682135,0.6064167991998375,Poisson
0.325,10436,0.009282632866355348,0.5797482781878607,0.659266164373417,Poisson
0.35,7861,0.006992217033577941,0.5900566925144771,0.6819900152903781,Poisson
0.375,5958,0.005299533022014676,0.6560558809651732,0.7461424245927597,Poisson
0.4,4488,0.003991994663108739,0.6649618216591101,0.7542405641297105,Poisson
0.425,3431,0.0030518123193239936,0.6683774638146711,0.7533043343180869,Poisson
0.45,2617,0.002327774071603291,0.6686506051367777,0.7571789303146345,Poisson
0.475,1974,0.0017558372248165444,0.6629249476569389,0.7542445980385826,Poisson
0.5,1538,0.0013680231265287969,0.6837342329935566,0.7664637620132839,Poisson
0.525,1191,0.0010593729152768513,0.6809084773494049,0.756929069344695,Poisson
0.55,913,0.0008120969535245719,0.624710217442281,0.697905604675302,Poisson
0.575,723,0.0006430953969312875,0.6474606171816315,0.7309264523886767,Poisson
0.6,565,0.0005025572603958194,0.6397500578847111,0.6982416010596468,Poisson
0.625,438,0.0003895930620413609,0.5932527642744196,0.6582266921436871,Poisson
