rank,eigenvalue,ratio_to_lambda_plus,top5_genes
1,110.29520859517396,53.68174709890039,B2M;TMSB4X;HLA-B;CORO1A;CD3E
2,61.21009002786144,29.791544117178972,GAPDH;PFN1;FOS;CFL1;IGFBP4
3,43.78841638618174,21.312246689990914,RPS12;RPL18A;CST3;LGALS1;RPS27
4,27.125782889442775,13.202381458612715,TYROBP;FCER1G;CD68;C1QB;HLA-DRA
5,22.032458072249362,10.723410901218136,RPL3;GNB2L1;RPS4X;RPS14;RPL29
6,17.504592966056805,8.519655066087505,AZGP1;TACSTD2;TM4SF1;CLDN4;CXCL2
7,12.222749763741785,5.948930783372585,CREM;FOXP3;NKG7;IL7R;CD8A
8,10.275717590190764,5.00129135220185,FOXP3;TNFRSF4;MT-CO1;NR4A2;MT-CO2
9,9.377181848175073,4.563965297184809,MT-ATP6;MT-ND4L;MT-CO3;MT-CO2;MT-ND1
10,8.20894871665113,3.9953749085560073,MS4A1;CD79A;HLA-DRA;HLA-DQA1;CD74
11,7.492496381672839,3.646670612652403,FABP4;SPARCL1;IGFBP7;IFITM1;GIMAP7
12,6.082406946078284,2.9603664165539856,TNFRSF18;MT-CO2;GAPDH;XBP1;MT-ND5
13,5.221510181613214,2.541359616740039,TUBA1B;TUBB;C1QC;C1QB;C1QA
14,5.167722773104043,2.515180763664994,XBP1;PNRC1;AREG;HMGN2;H2AFV
15,4.697281223770181,2.2862123016817755,TAGLN;ACTA2;TPM2;TPM1;MYL9
16,4.139314756282845,2.014644613666789,TRAV19;TRBV7-9;TMSB10;C12orf75;TNFRSF18
17,3.8511636681539083,1.874398686067289,ISG15;IFI6;MX1;ISG20;STAT1
18,3.597177620128657,1.7507812146430837,TPM2;ACTA2;ACTB;TAGLN2;MT1X
19,3.5229919549476048,1.7146743323284586,MS4A1;IRF7;CD79A;PLIN2;FTL
20,3.2980119581114953,1.6051743871695001,HMGB2;HOPX;DDIT4;HMGB1;HLA-DRB5
21,3.260099799641748,1.5867221721651625,MS4A1;S100A10;JUNB;PLIN2;CCL3
22,3.160751746061308,1.5383685115211359,STAT1;IFI6;DDIT4;GBP1;ITM2C
23,2.992524880737368,1.4564908655691098,LY6E;GZMK;MX1;CCL4L2;CST7
24,2.791272220897695,1.3585392453119893,FDCSP;CCL4L2;ACTG1;MT-ND2;CCL3
25,2.587925607628157,1.2595684776241636,HOPX;CD82;ISG15;FDCSP;IFI6
26,2.500455430491712,1.2169958945759813,NFKBIA;ISG15;TXNIP;TNFRSF4;JUN
27,2.3403387806037133,1.139065569087782,GZMK;DUSP2;NFKBIA;CTSC;UGP2
28,2.2831409076627,1.1112268099166165,PLP2;ZNF706;H3F3B;ISCU;FDCSP
29,2.233953748887806,1.0872869429768042,FDCSP;TRBV7-9;TRAV19;FCMR;CLU
30,2.205915636114692,1.073640521720726,RPL27A;CALR;RPS9;RPL21;HMGB2
31,2.1671524384525567,1.0547740976924525,ZNF683;PIM1;SRP14;HOPX;RP11-291B21.2
32,2.093965848937411,1.0191534751883213,PHLDA2;CCL3;CCL4L2;DDIT4;TRAV19
33,2.0666856142262864,1.0058759205310168,CCL3;PHLDA1;S100A10;LDHA;PNRC1
