cohort,rank,eigenvalue,lambda_plus,ratio,ipr,top_genes
TNBC,1,157.9449493184597,20.705758041773983,7.628068916859014,0.001550272822177169,SLC40A1;PGR;SCUBE2;ATP1A2;ABCA8
TNBC,2,108.21734204537387,20.705758041773983,5.2264371015562325,0.0015697918940320485,SLC27A6;MIA;SOX10;ROPN1;SHC4
TNBC,3,68.05972661541891,20.705758041773983,3.2869951671466473,0.0023954091549906135,UBD;GBP5;CD38;IDO1;ADAMDEC1
TNBC,4,57.23841726672438,20.705758041773983,2.764371975720259,0.0018893910662951107,ATP1A3;SMR3B;TNNT1;FAM57B;PPP2R2C
TNBC,5,50.46897461244775,20.705758041773983,2.437436702902947,0.002301404107247432,DEFB1;KRT6C;KRT16;PDZK1IP1;CDSN
TNBC,6,46.37760196191407,20.705758041773983,2.239840814731197,0.001831054555809314,CHRM1;LRRN1;EXTL1;DIO1;SOX8
TNBC,7,43.49964609700969,20.705758041773983,2.1008477936064405,0.0025032403696176497,MMP13;LRRC15;SLC24A2;COL10A1;COL11A1
TNBC,8,37.3728396549758,20.705758041773983,1.804949115100055,0.0019121681338124252,TMEM213;PIP5K1B;WFDC2;FOXJ1;C4orf19
TNBC,9,30.278291610151726,20.705758041773983,1.4623126354063012,0.00197412421586273,FADS2;ELN;SOX11;MSI1;MYBL2
TNBC,10,29.765820716576155,20.705758041773983,1.437562472068081,0.0019119206849525085,KRT4;CDH3;SERPINA3;MAOB;DSG1
TNBC,11,26.271121515194547,20.705758041773983,1.2687833723446595,0.0019399587291777103,AFF3;ACE2;RAMP1;PON3;DDC
TNBC,12,24.592087474362742,20.705758041773983,1.1876931733070613,0.0020156421345291237,CYP26A1;MMP11;MKX;HP;FABP7
TNBC,13,21.8934538931885,20.705758041773983,1.057360655379935,0.0019246920240688094,NPW;CCDC78;AKR7A3;FGFR4;CYP39A1
TNBC,14,21.483956601948528,20.705758041773983,1.0375836788300397,0.002139131699409705,C20orf85;PTGFR;GLYATL2;C2orf14;SLC35F3
LumA,1,205.88733904328157,8.223808931211398,25.03552073807162,0.00182205101429138,SFRP1;FREM1;TACR1;IL33;TMEM100
LumA,2,115.09725247545491,8.223808931211398,13.995613643044678,0.0015602555728663385,CDH3;SPDEF;KRT17;FOXA1;TNS4
LumA,3,59.70273613405752,8.223808931211398,7.259742612388623,0.0018042352323199167,LOC728606;TMEM84;KCND3;PIP;MSI1
LumA,4,57.32906029576983,8.223808931211398,6.971108007895442,0.0020130975107590034,PHF21B;TMEM90B;RUNDC3A;CDKL2;MYT1
LumA,5,39.1496966627145,8.223808931211398,4.760530915806139,0.0020896122334924756,STC2;RBM24;IGDCC3;PTGER3;NRIP3
LumA,6,37.25317477666135,8.223808931211398,4.529917351955528,0.0029240396512960204,GZMK;MS4A1;CXCL9;CD79A;FCRLA
LumA,7,30.107953458557866,8.223808931211398,3.661071616619241,0.0020940254586753757,PLIN5;PGLYRP2;MLXIPL;AZU1;CFD
LumA,8,29.095836692705976,8.223808931211398,3.5380000843988544,0.002010794144487066,PCSK1;EDIL3;ATP1A3;HMP19;SERPINB7
LumA,9,27.3255732723025,8.223808931211398,3.3227393171301878,0.0018681997999670083,S100P;CDH7;LOC150622;LOC283174;CEACAM5
LumA,10,24.391776958638342,8.223808931211398,2.9659950957840824,0.002012135737730713,NXPH1;SIX1;PVALB;SLC4A8;ELFN2
LumA,11,19.171129866256038,8.223808931211398,2.3311740370689837,0.004161903297339255,SERPINB3;KRT4;ALDH3A1;SPRR1B;SCEL
LumA,12,18.04303693683922,8.223808931211398,2.194000017237926,0.0025536236510305607,RIMS1;MGP;CYP2B7P1;PRKAA2;PI15
LumA,13,16.452414774004804,8.223808931211398,2.0005832956020906,0.0019964846950668753,RASSF6;HNF4G;ISG15;DNAH5;SLC16A6
LumA,14,15.58551076499849,8.223808931211398,1.8951693668182885,0.002178303865282493,IYD;PNPLA3;C4orf19;CRISP3;TSIX
LumA,15,14.556158243067337,8.223808931211398,1.7700019984441882,0.0024926553479259496,KIF1A;KLK12;MESP1;ABCC13;PDE8B
LumA,16,13.965242422359596,8.223808931211398,1.698147724390584,0.0023773997815909834,GDF15;GPR81;NEURL;FAM189A2;SCNN1G
LumA,17,13.20924622792119,8.223808931211398,1.6062199813262708,0.002730399857463048,C20orf85;CDC20B;FOXJ1;CDHR3;IGFALS
LumA,18,12.678011833782843,8.223808931211398,1.5416228586812906,0.0024692945734622806,ACOX2;F7;GALNT14;ABCA4;GLB1L2
LumA,19,12.290967461219061,8.223808931211398,1.4945589767500296,0.0021366176106194317,UPF0639;S100A1;TMPRSS2;PGR;MMP9
