tau,n_edges,density,ks_poisson,ks_goe,regime
0.15,383911,0.34148187680676007,0.19350796236449888,0.10498828113966896,GOE
0.2,238751,0.21236468756949078,0.20666189649148275,0.0949353880885705,GOE
0.25,142388,0.12665154547476096,0.21913152921085716,0.07717909867246031,GOE
0.3,82197,0.07311274182788526,0.2074245429732925,0.09471690308789937,GOE
0.35,46347,0.041224816544362906,0.20058128812063683,0.12715303300286107,GOE
0.4,25911,0.02304736490993996,0.19863595873997097,0.16699727207289805,GOE
0.45,14498,0.012895708249944408,0.2503916777999913,0.23690758236552012,GOE
0.5,7984,0.007101623304425172,0.34762869843520494,0.39187988646593463,Poisson
0.55,4391,0.0039057149210584836,0.4245502109527776,0.5012744383855569,Poisson
0.6,2413,0.002146319768734712,0.4507219577480367,0.5428310715639078,Poisson
0.65,1389,0.0012354903268845898,0.4714505034806442,0.5493481074951341,Poisson
0.7,814,0.0007240382477207027,0.5441854658313636,0.6312501969634872,Poisson
0.75,478,0.0004251723371136313,0.4712271142460037,0.5613976501771121,Poisson
0.8,258,0.0002294863242161441,0.42167577211464735,0.497980166045566,Poisson
