replicate,tau_star
0,0.1
1,0.1
2,0.1
3,
4,0.1
5,0.1
6,0.1
7,0.1
8,
9,
10,0.1
11,0.1
12,0.1
13,0.1
14,0.1
15,
16,0.1
17,0.1
18,0.1
19,
